SMILES,Core_type
Fc1cccc(-c2cccs2)c1-c1cccs1,3取代苯
Oc1cccc(F)c1-c1cccs1,3取代苯
Fc1cc(Cl)cc(Br)c1,3取代苯
Cc1cc(O)cc(I)c1,3取代苯
N#Cc1ccc(-c2ccccc2)c(-c2ccccc2)c1,3取代苯
Oc1cccc(Cl)c1-c1ccccc1,3取代苯
Oc1cccc(-c2ccccc2)c1F,3取代苯
COc1c(-c2cccs2)cccc1-c1cccs1,3取代苯
Cc1cc(C)cc(Br)c1,3取代苯
Brc1cccc(-c2ccccc2)c1Br,3取代苯
COc1ccc(-c2ccccc2)c(C)c1,3取代苯
Cc1c(O)cccc1F,3取代苯
Oc1cc(Cl)ccc1-c1ccccc1,3取代苯
COc1cccc(F)c1F,3取代苯
Cc1cccc(C#N)c1I,3取代苯
Cc1cc(F)cc(F)c1,3取代苯
Fc1ccc(F)c(Br)c1,3取代苯
Oc1cccc(I)c1-c1ccccc1,3取代苯
Clc1ccc(Br)cc1Cl,3取代苯
Cc1ccc(I)cc1Cl,3取代苯
COc1cc(Cl)cc(-c2ccccc2)c1,3取代苯
Cc1cc(F)cc(-c2cccs2)c1,3取代苯
c1ccc(-c2ccc(-c3cccs3)c(-c3ccccc3)c2)cc1,3取代苯
Fc1cc(I)ccc1-c1cccs1,3取代苯
COc1c(C)cccc1I,3取代苯
N#Cc1cccc(O)c1O,3取代苯
Brc1cc(I)ccc1-c1ccccc1,3取代苯
Oc1cc(I)ccc1-c1cccs1,3取代苯
COc1cc(F)ccc1I,3取代苯
N#Cc1cc(F)cc(F)c1,3取代苯
Cc1ccc(-c2ccccc2)cc1C#N,3取代苯
Brc1cccc(-c2cccs2)c1-c1ccccc1,3取代苯
N#Cc1cccc(-c2cccs2)c1I,3取代苯
N#Cc1cc(-c2cccs2)ccc1O,3取代苯
Clc1ccc(Cl)c(Cl)c1,3取代苯
Cc1cc(O)cc(F)c1,3取代苯
N#Cc1cccc(Br)c1Br,3取代苯
N#Cc1ccc(F)c(O)c1,3取代苯
COc1cccc(O)c1Cl,3取代苯
COc1ccc(Br)c(C)c1,3取代苯
N#Cc1cccc(-c2ccccc2)c1O,3取代苯
Clc1cc(Cl)cc(-c2ccccc2)c1,3取代苯
COc1cccc(Cl)c1O,3取代苯
N#Cc1ccc(Br)c(F)c1,3取代苯
COc1ccc(Cl)c(O)c1,3取代苯
N#Cc1cccc(Cl)c1-c1ccccc1,3取代苯
COc1cc(Br)cc(OC)c1,3取代苯
Clc1ccc(-c2cccs2)cc1Cl,3取代苯
N#Cc1cccc(-c2cccs2)c1Br,3取代苯
Oc1cccc(-c2cccs2)c1Cl,3取代苯
COc1cccc(C)c1OC,3取代苯
Cc1cc(Cl)ccc1F,3取代苯
COc1cccc(C)c1F,3取代苯
Fc1cc(I)ccc1-c1ccccc1,3取代苯
Clc1cccc(Cl)c1Cl,3取代苯
N#Cc1cc(O)cc(-c2ccccc2)c1,3取代苯
COc1c(-c2ccccc2)cccc1-c1ccccc1,3取代苯
COc1cccc(-c2cccs2)c1OC,3取代苯
Oc1cc(Br)cc(I)c1,3取代苯
Clc1ccc(-c2cccs2)cc1I,3取代苯
COc1cc(-c2ccccc2)ccc1Cl,3取代苯
Cc1ccc(F)cc1-c1ccccc1,3取代苯
COc1c(O)cccc1F,3取代苯
Oc1c(F)cccc1Br,3取代苯
Oc1ccc(I)cc1I,3取代苯
N#Cc1cc(I)ccc1Br,3取代苯
COc1cccc(O)c1F,3取代苯
Cc1c(Cl)cccc1-c1cccs1,3取代苯
c1ccc(-c2cccc(-c3ccccc3)c2-c2ccccc2)cc1,3取代苯
Clc1cccc(Br)c1-c1cccs1,3取代苯
COc1cc(Br)cc(Br)c1,3取代苯
Cc1cc(Br)ccc1-c1cccs1,3取代苯
c1ccc(-c2ccc(-c3ccccc3)c(-c3ccccc3)c2)cc1,3取代苯
COc1ccc(C)c(-c2ccccc2)c1,3取代苯
Brc1ccc(-c2cccs2)cc1-c1cccs1,3取代苯
Fc1c(I)cccc1I,3取代苯
COc1ccc(I)cc1F,3取代苯
Cc1c(C#N)cccc1-c1ccccc1,3取代苯
Fc1cc(Cl)cc(Cl)c1,3取代苯
Clc1ccc(-c2ccccc2)cc1Cl,3取代苯
COc1cccc(-c2ccccc2)c1Br,3取代苯
N#Cc1ccc(I)c(Br)c1,3取代苯
N#Cc1ccc(-c2cccs2)c(-c2ccccc2)c1,3取代苯
Cc1cc(Cl)ccc1C#N,3取代苯
Oc1cc(F)cc(-c2cccs2)c1,3取代苯
COc1ccc(F)cc1O,3取代苯
COc1cccc(C)c1C#N,3取代苯
Fc1cc(-c2ccccc2)cc(-c2cccs2)c1,3取代苯
Cc1cc(-c2cccs2)ccc1I,3取代苯
COc1ccc(C#N)cc1-c1ccccc1,3取代苯
Cc1ccc(Cl)cc1O,3取代苯
COc1ccc(-c2cccs2)c(O)c1,3取代苯
COc1cc(F)cc(I)c1,3取代苯
Oc1cccc(F)c1Br,3取代苯
Cc1cccc(C)c1Br,3取代苯
COc1cc(C)cc(OC)c1,3取代苯
Clc1cc(Br)cc(-c2ccccc2)c1,3取代苯
COc1cc(C)ccc1Br,3取代苯
N#Cc1cc(O)cc(Cl)c1,3取代苯
N#Cc1cc(C#N)cc(C#N)c1,3取代苯
Fc1cccc(-c2cccs2)c1I,3取代苯
Cc1cc(-c2cccs2)ccc1Br,3取代苯
Fc1c(Cl)cccc1I,3取代苯
Cc1ccc(I)c(Cl)c1,3取代苯
Brc1cccc(I)c1-c1ccccc1,3取代苯
COc1c(C#N)cccc1-c1ccccc1,3取代苯
N#Cc1c(-c2ccccc2)cccc1-c1cccs1,3取代苯
COc1cccc(Br)c1F,3取代苯
COc1cccc(C)c1I,3取代苯
COc1cc(Br)cc(-c2cccs2)c1,3取代苯
COc1cccc(I)c1-c1ccccc1,3取代苯
Clc1ccc(-c2ccccc2)c(I)c1,3取代苯
COc1cc(F)cc(OC)c1,3取代苯
Oc1cc(Br)cc(Br)c1,3取代苯
Cc1c(Cl)cccc1-c1ccccc1,3取代苯
Fc1cc(F)cc(F)c1,3取代苯
Cc1cc(O)ccc1-c1cccs1,3取代苯
Cc1c(O)cccc1C#N,3取代苯
Oc1c(Cl)cccc1-c1cccs1,3取代苯
Fc1cccc(I)c1F,3取代苯
Oc1cc(F)cc(F)c1,3取代苯
Brc1cc(Br)cc(-c2ccccc2)c1,3取代苯
COc1cc(Br)cc(I)c1,3取代苯
Clc1ccc(Br)c(-c2cccs2)c1,3取代苯
COc1cccc(C)c1-c1cccs1,3取代苯
Clc1ccc(-c2ccccc2)cc1Br,3取代苯
N#Cc1cc(-c2ccccc2)cc(-c2ccccc2)c1,3取代苯
Cc1cc(C#N)cc(-c2cccs2)c1,3取代苯
Oc1cccc(Br)c1F,3取代苯
c1ccc(-c2ccc(-c3cccs3)cc2-c2cccs2)cc1,3取代苯
N#Cc1cccc(O)c1Br,3取代苯
Fc1cccc(Br)c1-c1ccccc1,3取代苯
N#Cc1ccc(-c2cccs2)c(-c2cccs2)c1,3取代苯
c1ccc(-c2ccc(-c3cccs3)cc2-c2ccccc2)cc1,3取代苯
Cc1ccc(I)c(Br)c1,3取代苯
N#Cc1ccc(-c2ccccc2)c(I)c1,3取代苯
Cc1cc(-c2ccccc2)cc(-c2cccs2)c1,3取代苯
COc1cc(F)cc(Br)c1,3取代苯
Clc1ccc(-c2ccccc2)c(-c2ccccc2)c1,3取代苯
Brc1cc(-c2ccccc2)cc(-c2cccs2)c1,3取代苯
COc1cc(-c2ccccc2)cc(-c2cccs2)c1,3取代苯
COc1cccc(O)c1I,3取代苯
Fc1cc(Br)cc(Br)c1,3取代苯
Fc1ccc(F)c(Cl)c1,3取代苯
N#Cc1cccc(-c2cccs2)c1O,3取代苯
N#Cc1cc(F)cc(-c2ccccc2)c1,3取代苯
Clc1cc(Cl)cc(-c2cccs2)c1,3取代苯
Oc1ccc(O)c(F)c1,3取代苯
Brc1ccc(I)c(Br)c1,3取代苯
COc1cc(C)cc(O)c1,3取代苯
Brc1ccc(-c2cccs2)c(I)c1,3取代苯
