SMILES,Core_type,SAscore
Oc1cccc(I)c1-c1ccccc1,3取代苯,1.8507948164613701
Clc1ccc(Br)cc1Cl,3取代苯,1.5283876226101736
Cc1ccc(I)cc1Cl,3取代苯,1.8634933918409402
COc1cc(Cl)cc(-c2ccccc2)c1,3取代苯,1.45490127622789
Cc1cc(F)cc(-c2cccs2)c1,3取代苯,1.9439353841044582
c1ccc(-c2ccc(-c3cccs3)c(-c3ccccc3)c2)cc1,3取代苯,1.7339631843450718
Fc1cc(I)ccc1-c1cccs1,3取代苯,2.093559916328992
COc1c(C)cccc1I,3取代苯,2.012510392316539
N#Cc1cccc(O)c1O,3取代苯,2.2841257769319228
Brc1cc(I)ccc1-c1ccccc1,3取代苯,1.859420970307525
Oc1cc(I)ccc1-c1cccs1,3取代苯,2.2791357999048767
COc1cc(F)ccc1I,3取代苯,1.9104847512908982
N#Cc1cc(F)cc(F)c1,3取代苯,2.0658693666755124
Cc1ccc(-c2ccccc2)cc1C#N,3取代苯,1.642606821845062
Brc1cccc(-c2cccs2)c1-c1ccccc1,3取代苯,1.9129411153968476
N#Cc1cccc(-c2cccs2)c1I,3取代苯,2.4428840472305993
N#Cc1cc(-c2cccs2)ccc1O,3取代苯,2.1918290472306
Clc1ccc(Cl)c(Cl)c1,3取代苯,1.3373568533794042
Cc1cc(O)cc(F)c1,3取代苯,2.036420314917864
N#Cc1cccc(Br)c1Br,3取代苯,2.416797571803718
N#Cc1ccc(F)c(O)c1,3取代苯,2.1492744948806397
COc1cccc(O)c1Cl,3取代苯,1.830120648726794
COc1ccc(Br)c(C)c1,3取代苯,1.5195462897524372
N#Cc1cccc(-c2ccccc2)c1O,3取代苯,1.8135102207717164
Clc1cc(Cl)cc(-c2ccccc2)c1,3取代苯,1.4507725087690613
COc1cccc(Cl)c1O,3取代苯,1.647351417957566
N#Cc1ccc(Br)c(F)c1,3取代苯,2.020325776931923
COc1ccc(Cl)c(O)c1,3取代苯,1.6301668025729477
N#Cc1cccc(Cl)c1-c1ccccc1,3取代苯,1.7774909005570478
COc1cc(Br)cc(OC)c1,3取代苯,1.664892643989539
Clc1ccc(-c2cccs2)cc1Cl,3取代苯,1.7514888144578897
N#Cc1cccc(-c2cccs2)c1Br,3取代苯,2.3409728933844463
Oc1cccc(-c2cccs2)c1Cl,3取代苯,2.0965761325452075
COc1cccc(C)c1OC,3取代苯,1.484181874758768
Cc1cc(Cl)ccc1F,3取代苯,1.474203007225558
COc1cccc(C)c1F,3取代苯,1.6665565461626919
Fc1cc(I)ccc1-c1ccccc1,3取代苯,1.6363767395382922
Clc1cccc(Cl)c1Cl,3取代苯,1.565501084148634
N#Cc1cc(O)cc(-c2ccccc2)c1,3取代苯,1.835947430074043
COc1c(-c2ccccc2)cccc1-c1ccccc1,3取代苯,1.511764817555715
COc1cccc(-c2cccs2)c1OC,3取代苯,1.7948050329362957
Oc1cc(Br)cc(I)c1,3取代苯,2.7248856995332496
Clc1ccc(-c2cccs2)cc1I,3取代苯,2.1540264443955213
COc1cc(-c2ccccc2)ccc1Cl,3取代苯,1.3495320454586572
Cc1ccc(F)cc1-c1ccccc1,3取代苯,1.3497717395382924
COc1c(O)cccc1F,3取代苯,1.9276591102652567
Oc1c(F)cccc1Br,3取代苯,2.0790549303024797
Oc1ccc(I)cc1I,3取代苯,2.4283991610717113
N#Cc1cc(I)ccc1Br,3取代苯,2.6450078282139753
COc1cccc(O)c1F,3取代苯,1.896264238470387
Cc1c(Cl)cccc1-c1cccs1,3取代苯,1.8602110597801342
c1ccc(-c2cccc(-c3ccccc3)c2-c2ccccc2)cc1,3取代苯,1.2621031137612881
Clc1cccc(Br)c1-c1cccs1,3取代苯,2.0666983778674535
COc1cc(Br)cc(Br)c1,3取代苯,1.8879873153934632
Cc1cc(Br)ccc1-c1cccs1,3取代苯,1.8819420369111128
